,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,1.13687E-13,0,,-1.42109E-14,-1.13687E-13,,,-128.2045938,7,1,3,-128.2045938,769.2308,-1.13687E-13,,,,,,,,,,,,,,,,,,,,
4,10,0,-128.2045938,125000.6,,32.051275,128.2045938,,,-128.2045938,10,1,4,-128.2045938,769.2308,2.27376E-13,,,,,,,,,,,,,,,,,,,,
5,0,0,-769.2308,0,,96.15385,769.2308,,,1.33333E-05,13,1,5,1.33333E-05,-769.2308,1.13687E-13,,,,,,,,,,,,,,,,,,,,
6,0,0,-2.27376E-13,0,,1.42109E-14,2.27376E-13,,,1.33333E-05,16,1,6,1.33333E-05,-769.2308,1.1369E-13,,,,,,,,,,,,,,,,,,,,
7,10,0,-128.2045938,125000.6,,32.051275,128.2045938,,,1.33333E-05,19,1,7,1.33333E-05,769.2308,-1.13687E-13,,,,,,,,,,,,,,,,,,,,
8,0,0,769.2308,0,,-96.15385,-769.2308,,,1.33333E-05,22,1,8,1.33333E-05,769.2308,-1.1369E-13,,,,,,,,,,,,,,,,,,,,
9,0,0,-1.13687E-13,0,,1.42109E-14,1.13687E-13,,,128.2046205,25,1,9,128.2046205,-769.2308,1.13687E-13,,,,,,,,,,,,,,,,,,,,
10,10,0,-128.2045938,125000.6,,32.051275,128.2045938,,,128.2046205,28,1,10,128.2046205,-769.2308,-2.27376E-13,,,,,,,,,,,,,,,,,,,,
11,0,0,769.2308,0,,-96.15385,-769.2308,,,128.2046205,31,1,11,128.2046205,769.2308,-1.13687E-13,,,,,,,,,,,,,,,,,,,,
12,0,0,2.27376E-13,0,,-1.42109E-14,-2.27376E-13,,,128.2046205,34,1,12,128.2046205,769.2308,2.27376E-13,,,,,,,,,,,,,,,,,,,,
13,5,0,1.33333E-05,150000.8,,-1E-05,-1.33333E-05,,,-769.2308,2,2,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,-769.2308,0,,192.3077,769.2308,,,-769.2308,5,2,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,1.13687E-13,0,,-2.84217E-14,-1.13687E-13,,,769.2308,8,2,,,,,,,,,,,,,,,,,,,,,,,,
16,5,0,1.33333E-05,150000.8,,-1E-05,-1.33333E-05,,,769.2308,11,2,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,-769.2308,0,,192.3077,769.2308,,,-769.2308,14,2,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,1.1369E-13,0,,0,-1.1369E-13,,,-769.2308,17,2,,,,,,,,,,,,,,,,,,,,,,,,
19,5,0,1.33333E-05,150000.8,,-1E-05,-1.33333E-05,,,769.2308,20,2,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,769.2308,0,,-192.3077,-769.2308,,,769.2308,23,2,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,-1.13687E-13,0,,2.84217E-14,1.13687E-13,,,-769.2308,26,2,,,,,,,,,,,,,,,,,,,,,,,,
22,5,0,1.33333E-05,150000.8,,-1E-05,-1.33333E-05,,,-769.2308,29,2,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,769.2308,0,,-192.3077,-769.2308,,,769.2308,32,2,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,-1.1369E-13,0,,0,1.1369E-13,,,769.2308,35,2,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,128.2046205,25000.2,,-32.051285,-128.2046205,,,1.13687E-13,3,3,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,-769.2308,0,,96.15385,769.2308,,,-2.27376E-13,6,3,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,1.13687E-13,0,,-1.42109E-14,-1.13687E-13,,,-1.13687E-13,9,3,,,,,,,,,,,,,,,,,,,,,,,,
28,0,0,128.2046205,25000.2,,-32.051285,-128.2046205,,,2.27376E-13,12,3,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,-769.2308,0,,96.15385,769.2308,,,1.13687E-13,15,3,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,-2.27376E-13,0,,1.42109E-14,2.27376E-13,,,1.1369E-13,18,3,,,,,,,,,,,,,,,,,,,,,,,,
31,0,0,128.2046205,25000.2,,-32.051285,-128.2046205,,,-1.13687E-13,21,3,,,,,,,,,,,,,,,,,,,,,,,,
32,0,0,769.2308,0,,-96.15385,-769.2308,,,-1.1369E-13,24,3,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,-1.13687E-13,0,,1.42109E-14,1.13687E-13,,,1.13687E-13,27,3,,,,,,,,,,,,,,,,,,,,,,,,
34,0,0,128.2046205,25000.2,,-32.051285,-128.2046205,,,-2.27376E-13,30,3,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,769.2308,0,,-96.15385,-769.2308,,,-1.13687E-13,33,3,,,,,,,,,,,,,,,,,,,,,,,,
36,0,0,2.27376E-13,0,,-1.42109E-14,-2.27376E-13,,,2.27376E-13,36,3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4444.44,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,4444.44,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,4444.44,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,0,0,0,0,0,0,0,0,0,0
,2222.24,0,0,4444.44,0,0,2222.24,0,0,1111.12,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,2222.24,0,0,4444.44,0,0,2222.24,0,0,1111.12,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,2222.24,0,0,4444.44,0,0,2222.24,0,0,1111.12,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,0,0,0,0,0,0,0,0,0,0
,1111.12,0,0,2222.24,0,0,4444.44,0,0,2222.24,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1111.12,0,0,2222.24,0,0,4444.44,0,0,2222.24,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,1111.12,0,0,2222.24,0,0,4444.44,0,0,2222.24,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,0,0,0,0,0,0,0,0,0,0
,2222.24,0,0,1111.12,0,0,2222.24,0,0,4444.44,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,4444.44,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,4444.44,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,0,0,0,0,0,0,0,0,0,0
,2222.24,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,8888.88,0,0,4444.48,0,0,2222.24,0,0,4444.48,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0
,0,2222.24,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,8888.88,0,0,4444.48,0,0,2222.24,0,0,4444.48,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,1111.12,0
